School,Mean,Median,Mode,lower CI,upper CI, REGION,geo_rank,overall_rank,year
New York University,4.8,5,5,,,USA,1,1,2014
Princeton University,4.4,4.5,4.5,,,USA,2,3,2014
"Rutgers University, New Brunswick",4.4,4.5,5,,,USA,2,3,2014
"University of Michigan, Ann Arbor",4.2,4,4,,,USA,4,5,2014
Yale University,4.1,4,,,,USA,5,6,2014
Harvard University,4,4,4,,,USA,6,7,2014
University of Pittsburgh,4,4,4,,,USA,6,7,2014
Stanford University,3.9,4,,,,USA,8,9,2014
University of Southern California,3.9,4,4,,,USA,8,9,2014
Columbia University,3.8,4,4,,,USA,10,11,2014
"University of California, Berkeley",3.8,4,4,,,USA,10,11,2014
"University of California, Los Angeles",3.8,4,4,,,USA,10,11,2014
Massachusetts Institute of Technology,3.7,4,4,,,USA,13,15,2014
University of Arizona,3.7,3.5,4,,,USA,13,15,2014
"University of North Carolina, Chapel Hill",3.7,4,4,,,USA,13,15,2014
City University of New York Graduate Center,3.6,3.5,4,,,USA,16,18,2014
Cornell University,3.5,3.5,4,,,USA,17,19,2014
University of Notre Dame,3.5,3.5,4,,,USA,17,19,2014
"University of Texas, Austin",3.5,3.5,3.5,,,USA,17,19,2014
Brown University,3.4,3.5,3.5,,,USA,20,23,2014
University of Chicago,3.3,3.5,3.5,,,USA,21,24,2014
"University of Wisconsin, Madison",3.3,3.5,3,,,USA,21,24,2014
"University of California, San Diego",3.2,3,3,,,USA,23,27,2014
Duke University,3,3,3,,,USA,24,29,2014
"Indiana University, Bloomington",3,3,3,,,USA,24,29,2014
"University of California, Irvine",3,3,3,,,USA,24,29,2014
"Washington University, St. Louis",3,3,3,,,USA,24,29,2014
Ohio State University,2.9,3,2.5,,,USA,28,34,2014
"University of California, Riverside",2.9,3,3,,,USA,28,34,2014
"University of Massachusetts, Amherst",2.9,3,3,,,USA,28,34,2014
Northwestern University,2.8,3,3,,,USA,31,38,2014
"University of Colorado, Boulder",2.8,3,3,,,USA,31,38,2014
"University of Maryland, College Park",2.8,3,3,,,USA,31,38,2014
University of Miami,2.8,3,3,,,USA,31,38,2014
University of Pennsylvania,2.8,3,3,,,USA,31,38,2014
University of Virginia,2.8,3,3,,,USA,31,38,2014
Georgetown University,2.7,3,3,,,USA,37,47,2014
Syracuse University,2.7,2.5,3,,,USA,37,47,2014
"University of Connecticut, Storrs",2.7,2.5,2.5,,,USA,37,47,2014
Carnegie-Mellon University,2.6,2.5,2.5,,,USA,40,,2014
Johns Hopkins University,2.6,2.5,3,,,USA,40,,2014
"University of California, Davis",2.4,2.5,2.5,,,USA,42,,2014
"University of California, Santa Barbara",2.4,2.5,2,,,USA,42,,2014
"University of Illinois, Chicago",2.4,2.5,2.5,,,USA,42,,2014
Florida State University,2.3,2.5,2.5,,,USA,45,,2014
University of Rochester,2.3,2,2,,,USA,45,,2014
Rice University,2.2,2,2,,,USA,47,,2014
Saint Louis University,2.2,2,2,,,USA,47,,2014
"University of Minnesota, Minneapolis-St. Paul",2.2,2,2,,,USA,47,,2014
"University of Missouri, Columbia",2.2,2,2,,,USA,47,,2014
Boston University,2.1,2,2,,,USA,,,2014
Texas A&M University,2.1,2,2,,,USA,,,2014
University of Utah,2.1,2,2,,,USA,,,2014
Arizona State University,2,2,2,,,USA,,,2014
Purdue University,2,2,2,,,USA,,,2014
"University of Illinois, Urbana-Champaign",1.9,2,2,,,USA,,,2014
"University of Washington, Seattle",1.9,2,2.5,,,USA,,,2014
University of Cincinnati,1.8,2,2,,,USA,,,2014
Emory University,1.4,1.5,2,,,USA,,,2014
Oxford University,4.6,4.5,5,,,UK,1,2,2014
Cambridge University,3.5,3.5,3.5,,,UK,2,19,2014
University of St. Andrews/University of Stirling Joint Program,3.2,3,3,,,UK,3,27,2014
University of Edinburgh,3,3,3,,,UK,4,29,2014
"King’s College, London",2.9,3,3,,,UK,5,34,2014
London School of Economics,2.8,3,3,,,UK,6,38,2014
University College London,2.8,3,3,,,UK,6,38,2014
University of Birmingham,2.7,3,3,,,UK,8,47,2014
University of Leeds,2.7,2.5,3,,,UK,8,47,2014
University of Bristol,2.6,2.5,3,,,UK,10,,2014
University of Sheffield,2.6,2.75,3,,,UK,10,,2014
University of Warwick,2.4,2.5,,,,UK,12,,2014
"Birkbeck College, University of London",2.3,2.5,2.5,,,UK,13,,2014
University of Reading,2.3,2.5,2,,,UK,13,,2014
University of York,2.3,2.5,2.5,,,UK,13,,2014
University of Glasgow,2.1,2,2,,,UK,,,2014
University of Manchester,2.1,2,2,,,UK,,,2014
University of Aberdeen,2,2,2,,,UK,,,2014
University of Durham,1.9,2,2,,,UK,,,2014
University of Toronto,3.8,4,4,,,Canada,1,11,2014
University of British Columbia,2.7,3,3,,,Canada,2,47,2014
University of Western Ontario,2.7,3,3,,,Canada,2,47,2014
McGill University,2.3,2.5,2.5,,,Canada,4,,2014
University of Alberta,2.1,2,,,,Canada,5,,2014
University of Calgary,2.1,2,,,,Canada,5,,2014
Queen’s University,1.9,2,2.5,,,Canada,,,2014
University of Waterloo,1.9,2,2,,,Canada,,,2014
Australian National University,3.3,3.5,3.5,,,Australasia,1,24,2014
University of Sydney,2.8,3,3,,,Australasia,2,38,2014
Monash University,2.1,2,2,,,Australasia,3,,2014
University of Melbourne,2.1,2,2,,,Australasia,3,,2014
University of Auckland,2,2,2,,,Australasia,5,,2014
"Victoria University, Wellington",1.9,2,2,,,Australasia,,,2014
National University of Singapore,1.7,2,2,,,Australasia,,,2014
University of Otago,1.3,1.5,1,,,Australasia,,,2014